item_number,page_view,sold_within_duration,duration,treatment,flag_type,URL
294297027558,21,1,3,1,2,https://www.ebay.com/itm/294297027558
294297026183,38,1,3,0,2,https://www.ebay.com/itm/294297026183
294289528699,48,1,3,0,2,https://www.ebay.com/itm/294289528699
294289526403,24,0,3,1,2,https://www.ebay.com/itm/294289526403
294283094243,18,1,3,0,2,https://www.ebay.com/itm/294283094243
294283087941,16,1,3,1,2,https://www.ebay.com/itm/294283087941
294277434838,20,1,3,1,3,https://www.ebay.com/itm/294277434838
294277434818,40,1,3,0,3,https://www.ebay.com/itm/294277434818
294275255011,34,1,3,0,2,https://www.ebay.com/itm/294275255011
294275251007,21,1,3,1,2,http://ebay.us/eLp5Of?cmpnId=5338273189
294269647169,16,0,3,1,3,https://www.ebay.com/itm/294269647169
294269647104,47,1,3,0,3,https://www.ebay.com/itm/294269647104
294266695130,17,1,3,1,3,https://www.ebay.com/itm/294266695130
294266694710,60,1,3,0,3,https://www.ebay.com/itm/294266694710
294255923504,62,1,3,1,3,https://www.ebay.com/itm/294255923504
294255922008,44,1,3,0,3,https://www.ebay.com/itm/294255922008
294252411478,43,1,3,1,3,https://www.ebay.com/itm/294252411478
294252411444,63,1,3,0,3,https://www.ebay.com/itm/294252411444
294250987659,20,1,3,1,3,https://www.ebay.com/itm/294250987659
294250987465,42,1,3,0,3,https://www.ebay.com/itm/294250987465
294242970929,25,1,3,0,3,https://www.ebay.com/itm/294242970929
294242970874,30,1,3,1,3,https://www.ebay.com/itm/294242970874
294232226237,23,0,3,0,2,
294232225893,5,0,3,1,2,
294232222075,58,1,3,0,2,
294232221758,9,0,3,1,2,
184945583938,3,0,1,1,3,https://www.ebay.com/itm/184945583938
184945583877,23,1,1,0,3,https://www.ebay.com/itm/184945583877
184939321231,22,1,1,0,3,https://www.ebay.com/itm/184939321231
184939321212,12,0,1,1,3,https://www.ebay.com/itm/184939321212
184936772496,16,1,1,1,3,https://www.ebay.com/itm/184936772496
184936772463,23,1,1,0,3,https://www.ebay.com/itm/184936772463
184914293606,33,1,3,1,3,https://www.ebay.com/itm/184914293606
184914292964,87,1,3,0,3,https://www.ebay.com/itm/184914292964
184912768678,8,0,1,1,3,https://www.ebay.com/itm/184912768678
184912768657,34,0,1,0,3,https://www.ebay.com/itm/184912768657
184904048618,36,1,3,1,3,https://www.ebay.com/itm/184904048618
184904048577,64,1,3,0,3,https://www.ebay.com/itm/184904048577
184896586155,84,1,3,0,2,https://www.ebay.com/itm/184896586155
184896578337,14,0,3,1,2,https://www.ebay.com/itm/184896578337
184871234654,63,1,3,1,1,https://www.ebay.com/itm/184871234654
184871243405,51,1,3,0,1,https://www.ebay.com/itm/184871243405
184902396418,18,1,1,1,1,https://www.ebay.com/itm/184902396418
184902398380,31,1,1,0,1,https://www.ebay.com/itm/184902398380
184943519308,66,1,7,1,1,https://www.ebay.com/itm/184943519308
184943521426,52,1,7,0,1,https://www.ebay.com/itm/184943521426
184962313381,32,1,1,0,1,https://www.ebay.com/itm/184962313381
184962314316,25,1,1,1,1,https://www.ebay.com/itm/184962314316
184953409300,12,1,1,1,2,https://www.ebay.com/itm/184953409300
184953411092,27,1,1,0,2,https://www.ebay.com/itm/184953411092
184955728815,22,1,1,0,2,https://www.ebay.com/itm/184955728815
184957582693,83,1,7,1,2,https://www.ebay.com/itm/184957582693
184941399277,16,0,1,0,1,
184941398273,21,0,1,1,1,
184970848406,17,0,1,0,1,https://www.ebay.com/itm/184970848406
184970848418,4,0,1,1,1,https://www.ebay.com/itm/184970848418
184970848538,11,0,1,0,2,https://www.ebay.com/itm/184970848538
184970848621,8,0,1,1,2,https://www.ebay.com/itm/184970848621
184970848494,16,1,1,0,3,https://www.ebay.com/itm/184970848494
184970848517,3,0,1,1,3,https://www.ebay.com/itm/184970848517
294302945090,8,0,3,0,2,https://www.ebay.com/itm/294302945090
294302944825,36,1,3,1,2,https://www.ebay.com/itm/294302944825
294302945114,8,1,3,0,3,https://www.ebay.com/itm/294302945114
294302945135,4,0,3,1,3,https://www.ebay.com/itm/294302945135
294302951549,41,1,3,0,1,https://www.ebay.com/itm/294302951549
294302951523,10,0,3,1,1,https://www.ebay.com/itm/294302951523
294302966248,23,1,1,0,1,https://www.ebay.com/itm/294302966248
294302966316,9,1,1,1,1,https://www.ebay.com/itm/294302966316
294302966453,15,1,1,0,2,https://www.ebay.com/itm/294302966453
294302966485,5,1,1,1,2,https://www.ebay.com/itm/294302966485
294302966389,12,0,1,0,3,https://www.ebay.com/itm/294302966389
294302966415,3,0,1,1,3,https://www.ebay.com/itm/294302966415
184970881519,43,1,3,0,1,https://www.ebay.com/itm/184970881519
184970881708,11,0,3,1,1,https://www.ebay.com/itm/184970881708
184970882049,35,1,3,0,2,https://www.ebay.com/itm/184970882049
184970882112,28,1,3,1,2,https://www.ebay.com/itm/184970882112
184970881884,32,1,3,0,3,https://www.ebay.com/itm/184970881884
184970881984,13,1,3,1,3,https://www.ebay.com/itm/184970881984
